race;pid;finish;dist;dpos;alt;time
R00001;P000052;1;58.12;3725;1088;9.68
R00001;P000052;1;59.33;3725;1063;9.83
R00001;P000053;1;0;0;1064;0.0
R00001;P000053;1;14.03;1229;1919;2.39
R00001;P000053;1;22.4;1410;1615;3.13
R00001;P000053;1;27.94;1444;815;3.77
R00001;P000053;1;42.96;3034;1935;6.75
R00001;P000053;1;54.11;3687;1550;9.27
R00001;P000053;1;58.12;3725;1088;9.73
R00001;P000053;1;59.33;3725;1063;9.83
R00001;P000054;1;0;0;1064;0.0
R00001;P000054;1;14.03;1229;1919;2.09
R00001;P000054;1;22.4;1410;1615;2.95
R00001;P000054;1;27.94;1444;815;3.66
R00001;P000054;1;42.96;3034;1935;6.53
R00001;P000054;1;54.11;3687;1550;9.19
R00001;P000054;1;58.12;3725;1088;9.75
R00001;P000054;1;59.33;3725;1063;9.87
R00001;P000055;1;0;0;1064;0.0
R00001;P000055;1;14.03;1229;1919;2.58
R00001;P000055;1;22.4;1410;1615;3.21
R00001;P000055;1;27.94;1444;815;3.91
R00001;P000055;1;42.96;3034;1935;6.89
R00001;P000055;1;54.11;3687;1550;9.28
R00001;P000055;1;58.12;3725;1088;9.77
R00001;P000055;1;59.33;3725;1063;9.88
R00001;P000056;1;0;0;1064;0.0
R00001;P000056;1;14.03;1229;1919;2.95
R00001;P000056;1;22.4;1410;1615;3.36
R00001;P000056;1;27.94;1444;815;4.05
R00001;P000056;1;42.96;3034;1935;6.8
R00001;P000056;1;54.11;3687;1550;9.29
R00001;P000056;1;58.12;3725;1088;9.78
R00001;P000056;1;59.33;3725;1063;9.89
R00001;P000057;1;0;0;1064;0.0
R00001;P000057;1;14.03;1229;1919;2.56
R00001;P000057;1;22.4;1410;1615;3.18
R00001;P000057;1;27.94;1444;815;3.81
R00001;P000057;1;42.96;3034;1935;6.87
R00001;P000057;1;54.11;3687;1550;9.3
R00001;P000057;1;58.12;3725;1088;9.78
R00001;P000057;1;59.33;3725;1063;9.89
R00001;P000058;1;0;0;1064;0.0
R00001;P000058;1;14.03;1229;1919;1.85
R00001;P000058;1;22.4;1410;1615;2.64
R00001;P000058;1;27.94;1444;815;3.18
R00001;P000058;1;42.96;3034;1935;6.29
R00001;P000058;1;54.11;3687;1550;9.39
R00001;P000058;1;58.12;3725;1088;9.81
R00001;P000058;1;59.33;3725;1063;9.91
R00001;P000059;1;0;0;1064;0.0
R00001;P000059;1;14.03;1229;1919;2.27
R00001;P000059;1;22.4;1410;1615;3.12
R00001;P000059;1;27.94;1444;815;3.8
R00001;P000059;1;42.96;3034;1935;6.76
R00001;P000059;1;54.11;3687;1550;9.36
R00001;P000059;1;58.12;3725;1088;9.83
R00001;P000059;1;59.33;3725;1063;9.93
R00001;P000060;1;0;0;1064;0.0
R00001;P000060;1;14.03;1229;1919;2.27
R00001;P000060;1;22.4;1410;1615;3.12
R00001;P000060;1;27.94;1444;815;3.8
R00001;P000060;1;42.96;3034;1935;6.76
R00001;P000060;1;54.11;3687;1550;9.36
R00001;P000060;1;58.12;3725;1088;9.82
R00001;P000060;1;59.33;3725;1063;9.93
R00001;P000061;1;0;0;1064;0.0
R00001;P000061;1;14.03;1229;1919;2.55
R00001;P000061;1;22.4;1410;1615;3.16
R00001;P000061;1;27.94;1444;815;3.79
R00001;P000061;1;42.96;3034;1935;6.89
